Username,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Risk,Loyalty_Segment,Risk_Code,Loyalty_Code
KoltonS,29,1,500,1,1,2,112,4,Green,Casual Players,1,0
Konde,20,2,2756,2,2,3,223,7,Green,Casual Players,1,0
KoopaWert,41,1,50,1,1,1,111,3,Green,Casual Players,1,0
Korag,23,1,120,2,1,2,212,5,Green,Casual Players,1,0
Korean,35,1,240,1,1,2,112,4,Green,Casual Players,1,0
KoreanNinja,39,2,800,1,2,2,122,5,Green,Casual Players,1,0
Korefan,3,3,500,4,2,2,422,8,Green,New,1,1
KorolevGeorg,18,18,1400,2,4,3,243,9,Amber,Casual Players,2,0
Kostyaw,4,18,1200,4,4,3,443,11,Green,Loyal Customers,1,2
Kowalski005,14,5,2017,3,3,3,333,9,Amber,Casual Players,2,0
Krayton,18,7,6930,2,3,4,234,9,Amber,Casual Players,2,0
Krayton2,6,1,980,3,1,3,313,7,Green,Casual Players,1,0
Krislyn,5,1,10,4,1,1,411,6,Green,New,1,1
KrivoiEnot,7,1,600,3,1,2,312,6,Green,Casual Players,1,0
KrizzlyBear,31,1,2000,1,1,3,113,5,Green,Casual Players,1,0
KrizzlyBear69,26,1,5000,2,1,3,213,6,Green,Casual Players,1,0
Krolik13,25,1,10,2,1,1,211,4,Green,Casual Players,1,0
Krug,1,99,8257,4,4,4,444,12,Green,VIP,1,3
Ksabslaxin420,7,2,10000,3,2,4,324,9,Green,Casual Players,1,0
Kuehn4,39,5,1461,1,3,3,133,7,Amber,Casual Players,2,0
Kuinox,32,2,16,1,2,1,121,4,Green,Casual Players,1,0
Kyfran,34,29,55,1,4,1,141,6,Green,Casual Players,1,0
Kyfran2,17,26,37,2,4,1,241,7,Green,Casual Players,1,0
Kylandomos,4,2,11,4,2,1,421,7,Green,New,1,1
L00PY,9,1,125,3,1,2,312,6,Green,Casual Players,1,0
L0v3,5,2,11000,4,2,4,424,10,Green,New,1,1
L0v3Bi1t,5,1,500,4,1,2,412,7,Green,New,1,1
LACHATTE_ATAMERE,8,2,7000,3,2,4,324,9,Green,Casual Players,1,0
LLAMACOIN,32,1,66,1,1,1,111,3,Green,Casual Players,1,0
LOGIN8619,23,2,182,2,2,2,222,6,Green,Casual Players,1,0
LSD,25,1,32,2,1,1,211,4,Green,Casual Players,1,0
LUKA,13,36,16150,3,4,4,344,11,Amber,Loyal Customers,2,2
Labuhengge,15,4,3837,3,3,3,333,9,Amber,Casual Players,2,0
Lakai,14,1,200,3,1,2,312,6,Green,Casual Players,1,0
Lakhya666,37,1,100,1,1,1,111,3,Green,Casual Players,1,0
Laletin,1,9,486,4,3,2,432,9,Green,Casual Players,1,0
Lana8791,25,1,20,2,1,1,211,4,Green,Casual Players,1,0
LanceVance,21,3,24,2,2,1,221,5,Green,Casual Players,1,0
Lancer,12,5,230,3,3,2,332,8,Green,Casual Players,1,0
Landrew,30,5,3611,1,3,3,133,7,Amber,Casual Players,2,0
Lanky,39,1,10000,1,1,4,114,6,Green,Casual Players,1,0
Lars_1511,34,1,25,1,1,1,111,3,Green,Casual Players,1,0
LastLeft,20,2,400,2,2,2,222,6,Green,Casual Players,1,0
Lastman1011,16,2,200,2,2,2,222,6,Green,Casual Players,1,0
Lastmy20dollar,29,10,196000,1,3,4,134,8,Amber,Casual Players,2,0
LazyStrafes,1,3,170,4,2,2,422,8,Green,New,1,1
Leaderboard,26,4,100,2,3,1,231,6,Green,Casual Players,1,0
LeanSquad,7,6,960,3,3,3,333,9,Amber,Casual Players,2,0
Leecs,1,8,373,4,3,2,432,9,Green,Casual Players,1,0
Leeps,1,4,78,4,3,1,431,8,Green,Casual Players,1,0
Legend9876,39,10,3784,1,3,3,133,7,Amber,Casual Players,2,0
Legion,39,5,128,1,3,2,132,6,Green,Casual Players,1,0
Lejoha,35,2,3000,1,2,3,123,6,Green,Casual Players,1,0
Leshabump,16,23,535,2,4,2,242,8,Green,Casual Players,1,0
LessThan3,32,1,60,1,1,1,111,3,Green,Casual Players,1,0
Levi,3,4,9303,4,3,4,434,11,Green,Casual Players,1,0
Levi123,1,5,80000,4,3,4,434,11,Green,Casual Players,1,0
Lewik8,16,34,1603,2,4,3,243,9,Amber,Casual Players,2,0
Lexyslasher,17,1,15814,2,1,4,214,7,Green,Casual Players,1,0
Liamyeomans12,8,2,2,3,2,1,321,6,Green,Casual Players,1,0
Liekelikt,10,3,311,3,2,2,322,7,Green,Casual Players,1,0
LiftedSpirit,12,1,204111,3,1,4,314,8,Green,Casual Players,1,0
LilaLopez47,3,15,7405,4,4,4,444,12,Green,VIP,1,3
LimitlessAP,24,1,67,2,1,1,211,4,Green,Casual Players,1,0
LiparevAnton,23,5,15,2,3,1,231,6,Green,Casual Players,1,0
Lis5551,17,1,1000,2,1,3,213,6,Green,Casual Players,1,0
LittyasaTitty,29,1,10000,1,1,4,114,6,Green,Casual Players,1,0
LoanMANAGER,26,2,101,2,2,2,222,6,Green,Casual Players,1,0
Localmachine,35,1,15,1,1,1,111,3,Green,Casual Players,1,0
LonelyRoad,30,2,3000,1,2,3,123,6,Green,Casual Players,1,0
Loon-,11,1,2120,3,1,3,313,7,Green,Casual Players,1,0
LordCoder,14,30,19996,3,4,4,344,11,Amber,Loyal Customers,2,2
LordCoder_HF,24,5,3984,2,3,3,233,8,Amber,Casual Players,2,0
LordMafia09,34,4,57920,1,3,4,134,8,Amber,Casual Players,2,0
Lorebenzo,4,27,2892,4,4,3,443,11,Green,Loyal Customers,1,2
Lorismiller,19,1,15000,2,1,4,214,7,Green,Casual Players,1,0
LouisV,5,10,6311,4,3,4,434,11,Green,Casual Players,1,0
LoveLosing,11,4,12000,3,3,4,334,10,Amber,Casual Players,2,0
Low-life,3,1,30000,4,1,4,414,9,Green,New,1,1
LowBuyIn,30,1,28000,1,1,4,114,6,Green,Casual Players,1,0
LowInput,2,20,473,4,4,2,442,10,Green,Loyal Customers,1,2
LowOnBTC,25,1,2000,2,1,3,213,6,Green,Casual Players,1,0
Loyal,5,5,1240,4,3,3,433,10,Green,Casual Players,1,0
Lucky09,11,1,1500,3,1,3,313,7,Green,Casual Players,1,0
Lucky13,28,16,3123,2,4,3,243,9,Amber,Casual Players,2,0
LuckyCard,30,2,18,1,2,1,121,4,Green,Casual Players,1,0
LuckyDucky,4,6,31,4,3,1,431,8,Green,Casual Players,1,0
LuckySan,39,3,7016,1,2,4,124,7,Green,Casual Players,1,0
Lucky_Man,15,12,174,3,4,2,342,9,Green,Loyal Customers,1,2
Luffy,8,2,539,3,2,2,322,7,Green,Casual Players,1,0
Luigimarquez,5,1,17,4,1,1,411,6,Green,New,1,1
Luke4311,8,6,130000,3,3,4,334,10,Amber,Casual Players,2,0
Luxerion,1,44,9428,4,4,4,444,12,Green,VIP,1,3
Luxo,15,95,2257,3,4,3,343,10,Amber,Loyal Customers,2,2
M3NN0,6,1,55555,3,1,4,314,8,Green,Casual Players,1,0
M64GamingYT,15,2,50,3,2,1,321,6,Green,Casual Players,1,0
MARLBOROBLACK,5,5,2900,4,3,3,433,10,Green,Casual Players,1,0
MARLBOROLIGHTS,6,12,5206,3,4,3,343,10,Amber,Loyal Customers,2,2
MARLBOROREDS,6,26,17788,3,4,4,344,11,Amber,Loyal Customers,2,2
MAXzarabotok,7,2,98000,3,2,4,324,9,Green,Casual Players,1,0
MAkSQWI,41,1,640,1,1,2,112,4,Green,Casual Players,1,0
MB1,1,46,512,4,4,2,442,10,Green,Loyal Customers,1,2
MCWarriorz,1,21,2202,4,4,3,443,11,Green,Loyal Customers,1,2
MEbit,37,3,638,1,2,2,122,5,Green,Casual Players,1,0
MOFO,39,1,2000,1,1,3,113,5,Green,Casual Players,1,0
MPretzel17,21,1,150,2,1,2,212,5,Green,Casual Players,1,0
MRS_smith,6,1,405,3,1,2,312,6,Green,Casual Players,1,0
MaMeMiMoMu,7,16,3252,3,4,3,343,10,Amber,Loyal Customers,2,2
MaShi,29,5,69277,1,3,4,134,8,Amber,Casual Players,2,0
MacFag,34,6,42,1,3,1,131,5,Green,Casual Players,1,0
Mack_Illusionist,3,1,2000,4,1,3,413,8,Green,New,1,1
Macy,10,1,500,3,1,2,312,6,Green,Casual Players,1,0
MadeToBurst_com,18,1,35,2,1,1,211,4,Green,Casual Players,1,0
Mafioza,1,10,86,4,3,1,431,8,Green,Casual Players,1,0
Mafo5000,39,1,605,1,1,2,112,4,Green,Casual Players,1,0
Maharaja,2,10,7321,4,3,4,434,11,Green,Casual Players,1,0
Makaleli,23,4,120,2,3,2,232,7,Green,Casual Players,1,0
Makaveli,34,3,9,1,2,1,121,4,Green,Casual Players,1,0
MakeBank3,34,4,6,1,3,1,131,5,Green,Casual Players,1,0
MakeKilling,26,1,1000,2,1,3,213,6,Green,Casual Players,1,0
Makemoney4,35,1,7000,1,1,4,114,6,Green,Casual Players,1,0
MakiArt,23,33,485,2,4,2,242,8,Green,Casual Players,1,0
MakiGame,26,6,260,2,3,2,232,7,Green,Casual Players,1,0
Makknyusz,17,89,6628,2,4,4,244,10,Red,Casual Players,3,0
Makskiled,6,27,27,3,4,1,341,8,Green,Loyal Customers,1,2
Malc,26,17,6270,2,4,4,244,10,Red,Casual Players,3,0
Malder78,34,5,5995,1,3,4,134,8,Amber,Casual Players,2,0
Malfoy,1,8,38,4,3,1,431,8,Green,Casual Players,1,0
Mammt,34,2,12000,1,2,4,124,7,Green,Casual Players,1,0
Manarx1978,3,3,22,4,2,1,421,7,Green,New,1,1
ManisoBatu,32,2,185,1,2,2,122,5,Green,Casual Players,1,0
Manja,2,17,131000,4,4,4,444,12,Green,VIP,1,3
Mansur,7,77,467,3,4,2,342,9,Green,Loyal Customers,1,2
Marat7777,3,4,1850,4,3,3,433,10,Green,Casual Players,1,0
MarcusTacus,2,1,500,4,1,2,412,7,Green,New,1,1
Margoooooo,29,1,1,1,1,1,111,3,Green,Casual Players,1,0
Mariman22,15,1,1,3,1,1,311,5,Green,Casual Players,1,0
Mariy,1,12,12,4,4,1,441,9,Green,Loyal Customers,1,2
MarkSukhinin,7,1,20,3,1,1,311,5,Green,Casual Players,1,0
MarkT1me,7,1,60,3,1,1,311,5,Green,Casual Players,1,0
MarkyWorld,23,10,8185,2,3,4,234,9,Amber,Casual Players,2,0
Marlboro,18,1,90,2,1,1,211,4,Green,Casual Players,1,0
Marphillips,30,9,1208,1,3,3,133,7,Amber,Casual Players,2,0
Marselyaka,36,1,16,1,1,1,111,3,Green,Casual Players,1,0
Marsguy,20,19,4180,2,4,3,243,9,Amber,Casual Players,2,0
MartinBot,1,101,87637,4,4,4,444,12,Green,VIP,1,3
MartinG,10,21,9725,3,4,4,344,11,Amber,Loyal Customers,2,2
Martu90,17,5,97300,2,3,4,234,9,Amber,Casual Players,2,0
MaseSpace,12,7,7364,3,3,4,334,10,Amber,Casual Players,2,0
MaskedStash,14,1,100,3,1,1,311,5,Green,Casual Players,1,0
Masonnnn7,35,2,750,1,2,2,122,5,Green,Casual Players,1,0
Masterpipe6969,3,5,2638,4,3,3,433,10,Green,Casual Players,1,0
Matchuga,8,1,10,3,1,1,311,5,Green,Casual Players,1,0
Matrix7,15,2,2500,3,2,3,323,8,Green,Casual Players,1,0
Mattman,1,66,1981,4,4,3,443,11,Green,Loyal Customers,1,2
MattyMagnificent,10,1,1,3,1,1,311,5,Green,Casual Players,1,0
Max0nych,1,1,7000,4,1,4,414,9,Green,New,1,1
Max333,2,15,8320,4,4,4,444,12,Green,VIP,1,3
MaxDegen,37,4,13596,1,3,4,134,8,Amber,Casual Players,2,0
Maxsorre,19,1,3,2,1,1,211,4,Green,Casual Players,1,0
Maxxx,37,1,16,1,1,1,111,3,Green,Casual Players,1,0
Me16,13,1,102,3,1,2,312,6,Green,Casual Players,1,0
Mechoj,1,39,7940,4,4,4,444,12,Green,VIP,1,3
MeddHF,19,2,22000,2,2,4,224,8,Green,Casual Players,1,0
Mediana,19,6,646700,2,3,4,234,9,Amber,Casual Players,2,0
Meeseeks,1,5,160,4,3,2,432,9,Green,Casual Players,1,0
MeesterPlusser,8,25,103,3,4,2,342,9,Green,Loyal Customers,1,2
Meggie1108,20,5,1696,2,3,3,233,8,Amber,Casual Players,2,0
MegureRain,30,19,635,1,4,2,142,7,Green,Casual Players,1,0
Memet,29,2,1002,1,2,3,123,6,Green,Casual Players,1,0
MennoUpMyAss,3,1,8882,4,1,4,414,9,Green,New,1,1
MeoworWoof,27,26,4105,2,4,3,243,9,Amber,Casual Players,2,0
Meowth,10,1,16,3,1,1,311,5,Green,Casual Players,1,0
Merc,1,49,44141,4,4,4,444,12,Green,VIP,1,3
MesterX,37,22,2760,1,4,3,143,8,Amber,Casual Players,2,0
Mexican,1,1,120,4,1,2,412,7,Green,New,1,1
Mezzah,28,4,170000,2,3,4,234,9,Amber,Casual Players,2,0
MiDevil22,40,5,27,1,3,1,131,5,Green,Casual Players,1,0
MiamiDevil,7,2,1100,3,2,3,323,8,Green,Casual Players,1,0
Mianmohsin,21,2,6000,2,2,4,224,8,Green,Casual Players,1,0
MichaelDJ,26,1,10,2,1,1,211,4,Green,Casual Players,1,0
Michi,2,1,848,4,1,2,412,7,Green,New,1,1
MideMillions,6,13,110500,3,4,4,344,11,Amber,Loyal Customers,2,2
MihajloJokic,27,1,2,2,1,1,211,4,Green,Casual Players,1,0
Miheysan,8,10,61,3,3,1,331,7,Green,Casual Players,1,0
Mihnikols,1,8,54,4,3,1,431,8,Green,Casual Players,1,0
Mike1998,17,1,6114,2,1,4,214,7,Green,Casual Players,1,0
MikeAvramidis21,7,2,517,3,2,2,322,7,Green,Casual Players,1,0
MikeT,1,149,180926,4,4,4,444,12,Green,VIP,1,3
Mikolkaparavoz,16,1,100,2,1,1,211,4,Green,Casual Players,1,0
Milan97,13,2,20,3,2,1,321,6,Green,Casual Players,1,0
Millioner,8,20,14740,3,4,4,344,11,Amber,Loyal Customers,2,2
MindTaunt,1,11,2282,4,4,3,443,11,Green,Loyal Customers,1,2
Mineplex,16,34,9297,2,4,4,244,10,Red,Casual Players,3,0
MinnieMouse,29,1,5,1,1,1,111,3,Green,Casual Players,1,0
Miraki,2,10,3013,4,3,3,433,10,Green,Casual Players,1,0
Mirata,28,1,30,2,1,1,211,4,Green,Casual Players,1,0
Miroslav2002,28,1,200,2,1,2,212,5,Green,Casual Players,1,0
Miserys,3,8,612,4,3,2,432,9,Green,Casual Players,1,0
Misha7286,29,1,132,1,1,2,112,4,Green,Casual Players,1,0
MisterRaver,37,27,1410,1,4,3,143,8,Amber,Casual Players,2,0
Mistic85,27,5,32950,2,3,4,234,9,Amber,Casual Players,2,0
Mizanbd,1,4,625,4,3,2,432,9,Green,Casual Players,1,0
Mjpbaseball1,17,1,50,2,1,1,211,4,Green,Casual Players,1,0
MoJIog4uk,13,2,248,3,2,2,322,7,Green,Casual Players,1,0
MoMoneyMoProblem,5,2,52864,4,2,4,424,10,Green,New,1,1
Moist,2,1,100,4,1,1,411,6,Green,New,1,1
Moleman420,5,14,756,4,4,2,442,10,Green,Loyal Customers,1,2
MommiesStrats,15,12,562,3,4,2,342,9,Green,Loyal Customers,1,2
Monakzm99,5,4,1300,4,3,3,433,10,Green,Casual Players,1,0
MoneyLaundry,28,1,5000,2,1,3,213,6,Green,Casual Players,1,0
MoneyMaker,21,35,154,2,4,2,242,8,Green,Casual Players,1,0
Moneycame1,7,13,14839,3,4,4,344,11,Amber,Loyal Customers,2,2
Moneyroller,3,33,8666,4,4,4,444,12,Green,VIP,1,3
Monmon1233,24,1,1,2,1,1,211,4,Green,Casual Players,1,0
Mooieman,3,2,10,4,2,1,421,7,Green,New,1,1
MooseyMoose,22,7,2758,2,3,3,233,8,Amber,Casual Players,2,0
Morad1999,10,1,1,3,1,1,311,5,Green,Casual Players,1,0
Morgana,25,7,7,2,3,1,231,6,Green,Casual Players,1,0
Morgannetworker,1,19,185,4,4,2,442,10,Green,Loyal Customers,1,2
Morgausa,17,67,650,2,4,2,242,8,Green,Casual Players,1,0
Motenus,1,1,3,4,1,1,411,6,Green,New,1,1
Moustiks,37,14,60015,1,4,4,144,9,Red,Casual Players,3,0
MoxsicK,7,2,260,3,2,2,322,7,Green,Casual Players,1,0
Moyang,4,1,103,4,1,2,412,7,Green,New,1,1
Mozikachal,10,19,215950,3,4,4,344,11,Amber,Loyal Customers,2,2
MrCloud,6,1,29000,3,1,4,314,8,Green,Casual Players,1,0
MrDark,24,2,6000,2,2,4,224,8,Green,Casual Players,1,0
MrFreeman,2,3,15592,4,2,4,424,10,Green,New,1,1
MrFriendly,18,1,50,2,1,1,211,4,Green,Casual Players,1,0
MrJaytato,34,7,120,1,3,2,132,6,Green,Casual Players,1,0
MrMiyagi,6,1,40,3,1,1,311,5,Green,Casual Players,1,0
MrPro,6,1,9,3,1,1,311,5,Green,Casual Players,1,0
Mtg69,21,2,37,2,2,1,221,5,Green,Casual Players,1,0
Muggsy,5,2,4001,4,2,3,423,9,Green,New,1,1
Muhammasdedsss,33,1,100,1,1,1,111,3,Green,Casual Players,1,0
MujhkoChodojay,8,11,88400,3,4,4,344,11,Amber,Loyal Customers,2,2
Mukhtar,9,13,28336,3,4,4,344,11,Amber,Loyal Customers,2,2
Mushroomlol,25,1,10000,2,1,4,214,7,Green,Casual Players,1,0
MustyElbow,5,1,25,4,1,1,411,6,Green,New,1,1
MyLastCoin,13,1,5000,3,1,3,313,7,Green,Casual Players,1,0
MyOhMy,28,1,5000,2,1,3,213,6,Green,Casual Players,1,0
Mylar,28,9,14,2,3,1,231,6,Green,Casual Players,1,0
Mystiko,22,2,240,2,2,2,222,6,Green,Casual Players,1,0
MzTriple7s,26,2,8922,2,2,4,224,8,Green,Casual Players,1,0
N1ndy,16,7,3220,2,3,3,233,8,Amber,Casual Players,2,0
NEONDOUGH,4,18,472370,4,4,4,444,12,Green,VIP,1,3
NEWGAMEE,25,1,650,2,1,2,212,5,Green,Casual Players,1,0
NOY1,3,37,565,4,4,2,442,10,Green,Loyal Customers,1,2
NYAN_4_D_LULZ,19,1,5189,2,1,3,213,6,Green,Casual Players,1,0
NYAN_FTW,8,2,110,3,2,2,322,7,Green,Casual Players,1,0
NYAN_HUNTER,2,10,838901,4,3,4,434,11,Green,Casual Players,1,0
NYAN_LULZ_HUNTER,5,9,6217,4,3,4,434,11,Green,Casual Players,1,0
NabilAmrani,1,198,451474,4,4,4,444,12,Green,VIP,1,3
Nady1991,22,4,620,2,3,2,232,7,Green,Casual Players,1,0
Namae,1,9,1209,4,3,3,433,10,Green,Casual Players,1,0
Nanax,25,1,80,2,1,1,211,4,Green,Casual Players,1,0
NanoMine,36,2,13,1,2,1,121,4,Green,Casual Players,1,0
NavTech,15,11,239,3,4,2,342,9,Green,Loyal Customers,1,2
NavTech1,16,8,1122,2,3,3,233,8,Amber,Casual Players,2,0
Naveedsadiq,6,17,135936,3,4,4,344,11,Amber,Loyal Customers,2,2
Nebelyng,17,1,27,2,1,1,211,4,Green,Casual Players,1,0
Neel2706,2,1,6,4,1,1,411,6,Green,New,1,1
Neelenduguha,3,15,9190,4,4,4,444,12,Green,VIP,1,3
NekoMajo,33,1,234,1,1,2,112,4,Green,Casual Players,1,0
Nekropeon,15,5,114,3,3,2,332,8,Green,Casual Players,1,0
Neo827,7,2,3895,3,2,3,323,8,Green,Casual Players,1,0
Nevada,12,33,9301,3,4,4,344,11,Amber,Loyal Customers,2,2
New_vI_chok_,1,21,71454,4,4,4,444,12,Green,VIP,1,3
Newka,35,1,7,1,1,1,111,3,Green,Casual Players,1,0
Newname55,24,11,17,2,4,1,241,7,Green,Casual Players,1,0
Neyeshpapa,1,83,1108,4,4,3,443,11,Green,Loyal Customers,1,2
Nic0le,6,2,2900,3,2,3,323,8,Green,Casual Players,1,0
Nightwish,38,9,164,1,3,2,132,6,Green,Casual Players,1,0
Nikhilbisht,9,2,3,3,2,1,321,6,Green,Casual Players,1,0
Nikitka,4,1,100,4,1,1,411,6,Green,New,1,1
Nikolaz,38,3,165,1,2,2,122,5,Green,Casual Players,1,0
Nikoscha,1,1,1,4,1,1,411,6,Green,New,1,1
Niloy1805,2,2,2500,4,2,3,423,9,Green,New,1,1
Nipar,31,1,500,1,1,2,112,4,Green,Casual Players,1,0
Nitesh_24,12,1,15000,3,1,4,314,8,Green,Casual Players,1,0
Nitrogen_system,15,8,370,3,3,2,332,8,Green,Casual Players,1,0
Nlthu,9,2,23,3,2,1,321,6,Green,Casual Players,1,0
No27,4,1,150000,4,1,4,414,9,Green,New,1,1
NoBBaGGu,12,8,903,3,3,3,333,9,Amber,Casual Players,2,0
No_cakes_pls,1,36,676,4,4,2,442,10,Green,Loyal Customers,1,2
Nokia_N73,37,1,1,1,1,1,111,3,Green,Casual Players,1,0
Nongboy,20,12,4446,2,4,3,243,9,Amber,Casual Players,2,0
NooZy,11,26,155000,3,4,4,344,11,Amber,Loyal Customers,2,2
Noop,13,1,69000,3,1,4,314,8,Green,Casual Players,1,0
Noragami1491,41,1,151,1,1,2,112,4,Green,Casual Players,1,0
Nord,37,2,512,1,2,2,122,5,Green,Casual Players,1,0
Nosadzkee,16,1,55,2,1,1,211,4,Green,Casual Players,1,0
Noss_,11,1,800,3,1,2,312,6,Green,Casual Players,1,0
NotMega,35,1,5,1,1,1,111,3,Green,Casual Players,1,0
NotThatTime,29,7,62365,1,3,4,134,8,Amber,Casual Players,2,0
Notme10,38,2,11000,1,2,4,124,7,Green,Casual Players,1,0
Notoriety,29,1,1000,1,1,3,113,5,Green,Casual Players,1,0
Noventa,34,13,172,1,4,2,142,7,Green,Casual Players,1,0
Novigator,18,1,2,2,1,1,211,4,Green,Casual Players,1,0
Novigator2,26,6,5010,2,3,3,233,8,Amber,Casual Players,2,0
Nschneider172,12,1,20,3,1,1,311,5,Green,Casual Players,1,0
Nublish,26,8,126,2,3,2,232,7,Green,Casual Players,1,0
NuestroSantuario,13,2,11000,3,2,4,324,9,Green,Casual Players,1,0
Nulakir,32,5,60095,1,3,4,134,8,Amber,Casual Players,2,0
NullSec,5,2,22000,4,2,4,424,10,Green,New,1,1
NulldB,39,1,5000,1,1,3,113,5,Green,Casual Players,1,0
Nvcx,34,2,70,1,2,1,121,4,Green,Casual Players,1,0
NyanLuck,24,10,172,2,3,2,232,7,Green,Casual Players,1,0
NyanTester,6,50,50,3,4,1,341,8,Green,Loyal Customers,1,2
Nyev,29,1,1560,1,1,3,113,5,Green,Casual Players,1,0
Nygma,19,1,1000,2,1,3,213,6,Green,Casual Players,1,0
OGSWAGMASTERBOI,11,16,1437,3,4,3,343,10,Amber,Loyal Customers,2,2
OSKOL,11,1,4401,3,1,3,313,7,Green,Casual Players,1,0
OVNI,3,1,40,4,1,1,411,6,Green,New,1,1
Oah,2,1,1000,4,1,3,413,8,Green,New,1,1
Obione,10,8,58,3,3,1,331,7,Green,Casual Players,1,0
ObviouslyRu,7,1,17,3,1,1,311,5,Green,Casual Players,1,0
Occianbuster,9,17,6886,3,4,4,344,11,Amber,Loyal Customers,2,2
Occult,32,1,25,1,1,1,111,3,Green,Casual Players,1,0
Ocean12,12,1,8000,3,1,4,314,8,Green,Casual Players,1,0
Ogyz_Tixonovich,2,8,2093,4,3,3,433,10,Green,Casual Players,1,0
Oh_Hi_There123,5,10,6850,4,3,4,434,11,Green,Casual Players,1,0
Olafr,5,21,34041,4,4,4,444,12,Green,VIP,1,3
Oleg_Sh,4,3,346,4,2,2,422,8,Green,New,1,1
Olegoleg,4,37,208,4,4,2,442,10,Green,Loyal Customers,1,2
Olexandr,4,41,37600,4,4,4,444,12,Green,VIP,1,3
Olga161,6,9,1778,3,3,3,333,9,Amber,Casual Players,2,0
Olympusgod,1,3,35,4,2,1,421,7,Green,New,1,1
OmegaCloud,3,1,50,4,1,1,411,6,Green,New,1,1
OmegaSquad,17,6,12,2,3,1,231,6,Green,Casual Players,1,0
OmgItsBrki,1,2,4000,4,2,3,423,9,Green,New,1,1
OnAMission,11,1,3,3,1,1,311,5,Green,Casual Players,1,0
OnTheMoon22,1,157,178634,4,4,4,444,12,Green,VIP,1,3
OneLuckyChance,13,3,700,3,2,2,322,7,Green,Casual Players,1,0
OnePunchWin,17,3,106070,2,2,4,224,8,Green,Casual Players,1,0
OneStepCloser,41,2,113,1,2,2,122,5,Green,Casual Players,1,0
Onecoin,24,4,2890,2,3,3,233,8,Amber,Casual Players,2,0
OphionBank,19,1,5555,2,1,4,214,7,Green,Casual Players,1,0
Opik,29,4,48,1,3,1,131,5,Green,Casual Players,1,0
Orgame,21,2,5003,2,2,3,223,7,Green,Casual Players,1,0
OskieOskie,39,1,37,1,1,1,111,3,Green,Casual Players,1,0
Osmoooz,16,2,400,2,2,2,222,6,Green,Casual Players,1,0
Ossyman,10,15,3258,3,4,3,343,10,Amber,Loyal Customers,2,2
Ostaz2,18,20,186,2,4,2,242,8,Green,Casual Players,1,0
Ozzy1,1,10,5586,4,3,4,434,11,Green,Casual Players,1,0
PF1213,25,2,1001,2,2,3,223,7,Green,Casual Players,1,0
PIXI,1,68,4965,4,4,3,443,11,Green,Loyal Customers,1,2
PJDgang4TISKO,1,1,1000,4,1,3,413,8,Green,New,1,1
PM_UR_TITS,35,7,268,1,3,2,132,6,Green,Casual Players,1,0
PPPseudo,12,11,5492,3,4,4,344,11,Amber,Loyal Customers,2,2
PSN,41,1,11,1,1,1,111,3,Green,Casual Players,1,0
Pa__V,37,17,1309,1,4,3,143,8,Amber,Casual Players,2,0
Paladin,23,1,12000,2,1,4,214,7,Green,Casual Players,1,0
Pancake,32,5,391,1,3,2,132,6,Green,Casual Players,1,0
Pankaj,7,2,10,3,2,1,321,6,Green,Casual Players,1,0
PapaGooby,9,4,14060,3,3,4,334,10,Amber,Casual Players,2,0
PaperGun,4,1,50,4,1,1,411,6,Green,New,1,1
Papy26,2,14,3279,4,4,3,443,11,Green,Loyal Customers,1,2
Paracetamol,7,40,40346,3,4,4,344,11,Amber,Loyal Customers,2,2
Parm,21,2,1800,2,2,3,223,7,Green,Casual Players,1,0
Pasquale87,4,58,3402,4,4,3,443,11,Green,Loyal Customers,1,2
PatataDeCampo,18,5,519,2,3,2,232,7,Green,Casual Players,1,0
Patel1985,7,8,10099,3,3,4,334,10,Amber,Casual Players,2,0
Patelji,1,68,14338,4,4,4,444,12,Green,VIP,1,3
Paullybhoy,1,6,69,4,3,1,431,8,Green,Casual Players,1,0
Pavlik,33,3,8,1,2,1,121,4,Green,Casual Players,1,0
Pavyl,4,6,1620,4,3,3,433,10,Green,Casual Players,1,0
Peac3,5,9,10118,4,3,4,434,11,Green,Casual Players,1,0
PedgyTheGod,11,5,16,3,3,1,331,7,Green,Casual Players,1,0
Peking,14,1,1153,3,1,3,313,7,Green,Casual Players,1,0
Penguinski,9,1,1,3,1,1,311,5,Green,Casual Players,1,0
PeopleLoveMe,15,2,338,3,2,2,322,7,Green,Casual Players,1,0
Per4ik,1,1,10,4,1,1,411,6,Green,New,1,1
Perchlorate,6,9,104307,3,3,4,334,10,Amber,Casual Players,2,0
Pershaaaa,20,15,10109,2,4,4,244,10,Red,Casual Players,3,0
Peterson46,18,1,874,2,1,2,212,5,Green,Casual Players,1,0
PhexioScript,35,1,25,1,1,1,111,3,Green,Casual Players,1,0
Phill2,29,3,89,1,2,1,121,4,Green,Casual Players,1,0
Phresh97,33,1,500,1,1,2,112,4,Green,Casual Players,1,0
Pierce,16,2,2025,2,2,3,223,7,Green,Casual Players,1,0
Piggybankboy,19,2,4000,2,2,3,223,7,Green,Casual Players,1,0
Pimpsta,28,36,3248,2,4,3,243,9,Amber,Casual Players,2,0
Pks,1,16,6250,4,4,4,444,12,Green,VIP,1,3
Plankton,32,1,10,1,1,1,111,3,Green,Casual Players,1,0
